FTREIT,2023-02-15,11.3,11.4,11.3,0.09999999999999964,1,1,0,475786,11.4
GFPT,2023-02-15,12.5,12.5,12.2,0.3000000000000007,3,0,3,2634893,12.3
GLOBAL,2023-02-15,18.9,19.0,18.7,0.3000000000000007,3,1,2,16650402,18.9
GPSC,2023-02-15,71.0,71.75,70.5,1.25,5,3,2,5494342,71.25
GULF,2023-02-15,54.25,54.25,53.25,1.0,4,0,4,13952411,53.75
GUNKUL,2023-02-15,4.14,4.32,4.1,0.22000000000000064,11,9,2,295554727,4.28
GVREIT,2023-02-15,9.75,9.8,9.75,0.05000000000000071,1,1,0,206010,9.8
HANA,2023-02-15,59.25,61.0,59.0,2.0,8,7,1,9391553,59.25
HFT,2023-02-15,6.55,6.6,6.45,0.14999999999999947,3,1,2,415600,6.5
HMPRO,2023-02-15,14.8,14.8,14.6,0.20000000000000107,2,0,2,12017481,14.7
HTC,2023-02-15,30.5,30.75,30.0,0.75,3,1,2,210962,30.25
ICHI,2023-02-15,12.0,12.3,11.7,0.6000000000000014,6,3,3,6079978,12.1
III,2023-02-15,14.0,14.3,13.9,0.40000000000000036,4,3,1,4574323,14.0
ILM,2023-02-15,18.0,18.9,18.0,0.8999999999999986,9,9,0,2294733,18.7
IMPACT,2023-02-15,14.1,14.2,14.1,0.09999999999999964,1,1,0,433913,14.2
INTUCH,2023-02-15,75.25,75.25,74.0,1.25,5,0,5,3596052,75.0
IRPC,2023-02-15,3.06,3.14,3.04,0.10000000000000009,5,4,1,86099643,3.12
IVL,2023-02-15,40.0,40.5,39.5,1.0,4,2,2,9498388,40.25
JASIF,2023-02-15,8.15,8.2,8.1,0.09999999999999964,2,1,1,10327551,8.2
JMART,2023-02-15,28.5,31.75,28.5,3.25,13,13,0,52678770,31.75
JMT,2023-02-15,42.75,50.5,42.0,8.5,34,31,3,75936256,50.25
JWD,2023-02-15,19.9,20.0,19.7,0.3000000000000007,3,1,2,2902107,19.7
KBANK,2023-02-15,141.5,142.5,141.0,1.5,3,2,1,15608325,142.5
KCE,2023-02-15,46.75,48.0,46.75,1.25,5,5,0,15866347,47.25
KEX,2023-02-15,15.0,15.7,14.9,0.7999999999999989,8,7,1,6507464,15.7
KGI,2023-02-15,5.05,5.15,5.05,0.10000000000000053,2,2,0,2240039,5.1
KKP,2023-02-15,67.25,67.75,67.0,0.75,3,2,1,3835004,67.75
KSL,2023-02-15,3.64,3.76,3.64,0.11999999999999966,6,6,0,5125262,3.74
KTB,2023-02-15,17.1,17.2,17.0,0.1999999999999993,2,1,1,27637434,17.1
KTC,2023-02-15,57.25,58.0,56.75,1.25,5,3,2,7724116,58.0
LALIN,2023-02-15,9.3,9.4,9.15,0.25,5,2,3,537036,9.4
LANNA,2023-02-15,15.4,15.6,15.3,0.29999999999999893,3,2,1,1151150,15.5
LH,2023-02-15,9.8,9.85,9.75,0.09999999999999964,2,1,1,16599709,9.75
LPF,2023-02-15,14.1,14.2,14.0,0.1999999999999993,2,1,1,491870,14.1
LPH,2023-02-15,5.6,5.65,5.6,0.05000000000000071,1,1,0,81306,5.65
LPN,2023-02-15,4.5,4.56,4.5,0.05999999999999961,3,3,0,2059633,4.52
M,2023-02-15,55.5,56.0,55.0,1.0,4,2,2,1206254,56.0
MACO,2023-02-15,0.58,0.6,0.58,0.020000000000000018,2,2,0,17378040,0.6
MAJOR,2023-02-15,18.0,18.2,17.8,0.3999999999999986,4,2,2,1381637,17.8
MC,2023-02-15,11.9,12.1,11.9,0.1999999999999993,2,2,0,1273422,11.9
