Name,Price,Buy,Hold,Sell,EPS_a,EPS_b,PE,PBV,DIV%,Target,Sts
JASIF,8.05,1,3,1,0.98,1.14,8.2,0.7,11.5,8.04,X
JMART,40.75,2,1,0,1.15,1.47,35.3,2.6,2.0,56.67,X
JMT,69.00,4,0,0,1.34,1.82,51.6,4.4,1.2,81.50,X
JWD,20.80,3,1,0,0.56,0.71,37.1,5.2,1.1,23.44,X
KBANK,147.50,5,0,0,17.92,19.80,8.2,0.7,2.7,183.0,X
KCE,46.50,3,2,0,2.07,2.17,22.4,4.0,3.7,54.40,X
KEX,18.40,1,0,3,-1.64,-0.08,-11.2,4.6,0.1,18.63,X
KKP,73.75,6,0,0,9.47,10.30,7.8,1.1,5.9,87.67,X
KSL,3.70,1,1,0,0.28,0.31,13.1,0.8,1.9,4.75,X
KTB,17.70,13,1,0,2.40,2.49,7.4,0.6,4.4,20.26,X
KTC,59.00,6,1,1,2.77,3.00,21.3,4.8,2.0,66.88,X
LALIN,9.10,3,1,0,1.49,1.53,6.1,1.0,6.8,10.48,X
LANNA,17.70,0,0,0,6.50,4.20,2.7,0.8,18.6,0,X
LH,9.90,4,1,0,0.71,0.75,13.9,2.3,6.1,10.74,X
LPF,12.70,1,0,0,0.61,1.14,20.8,1.0,5.3,14.80,X
LPH,5.65,1,1,0,0.47,0.27,12.0,2.3,5.2,6.20,X
LPN,4.62,0,2,1,0.42,0.48,11.1,0.6,6.3,3.97,X
M,58.75,3,2,0,1.73,2.42,33.9,3.9,2.7,64.76,X
MAJOR,18.20,7,0,0,0.45,1.09,40.6,2.3,2.5,22.84,X
MAKRO,40.00,4,2,1,0.75,1.14,53.0,1.4,1.2,40.90,X
MC,10.50,3,0,0,0.60,0.72,17.4,2.3,5.7,12.40,X
MEGA,46.75,4,2,0,2.65,2.72,17.6,4.6,3.1,58.25,X
MINT,32.25,7,0,0,0.22,0.85,147.2,2.4,0,36.31,X
MST,11.30,0,1,0,1.15,1.21,9.8,1.3,7.1,12.30,X
MTC,38.00,3,3,2,2.48,2.86,15.3,2.7,1.0,41.88,X
NER,6.35,3,0,0,1.11,1.24,5.7,1.7,7.1,8.30,X
NOBLE,5.55,1,0,0,0.65,0.79,8.5,1.2,7.2,6.05,X
OISHI,46.50,1,0,0,3.00,3.00,15.5,1.1,3.4,66.80,X
ONEE,7.95,8,0,0,0.32,0.41,25.1,2.6,2.0,11.53,X
OR,23.80,6,0,1,1.15,1.17,20.6,2.7,2.2,28.21,X
ORI,12.10,8,1,0,1.40,1.43,8.6,1.8,4.8,13.01,X
OSP,28.25,3,1,0,0.71,0.92,39.7,4.2,2.3,29.58,X
PLANB,7.60,8,0,0,0.16,0.21,48.5,3.9,1.3,9.06,X
PRM,7.15,5,1,0,0.70,0.61,10.2,1.8,4.6,8.91,X
PSH,13.20,1,3,1,1.23,1.26,10.7,0.6,7.2,11.20,X
PSL,16.10,3,0,0,3.21,2.51,5.0,1.5,10.6,19.73,X
PTG,14.50,7,0,0,0.81,1.00,17.9,2.7,2.2,17.80,X
PTL,25.25,1,0,0,3.94,4.03,6.4,1.3,5.2,31.00,X
PTT,33.25,7,1,1,3.50,3.60,9.5,0.9,5.8,42.24,X
PTTEP,176.50,4,5,2,19.59,18.10,9.0,1.5,4.9,182.8,X
PTTGC,47.25,4,3,1,0.28,4.00,167.1,0.7,2.4,51.33,X
QH,2.30,3,1,0,0.22,0.24,10.6,0.9,6.1,2.45,X
RATCH,42.75,6,0,0,3.99,4.65,10.7,1.0,4.8,55.67,X
RBF,12.90,1,2,0,0.26,0.35,49.8,5.6,1.0,12.57,X
RCL,30.75,0,0,1,28.70,5.33,1.1,0.6,17.9,27.25,X
RJH,30.25,1,1,0,3.62,1.43,8.4,4.0,9.2,34.60,X
ROJNA,6.25,0,1,0,-0.10,0,-62.6,0,0.4,6.40,X
RS,16.00,3,2,0,0.25,0.48,63.1,7.4,1.2,17.29,X
SAPPE,44.25,8,0,0,2.00,2.26,22.1,4.2,3.3,51.14,X
SAT,21.00,5,0,0,1.92,2.35,10.9,1.1,6.8,24.56,X
SAWAD,48.75,8,5,1,3.24,3.64,15.1,2.5,3.4,51.27,X
SC,4.22,7,1,0,0.57,0.61,7.4,0.8,5.4,4.72,X
SCB,107.00,6,0,0,12.03,13.05,8.9,0.8,4.3,145.3,X
SCC,342.00,1,2,0,24.69,27.79,13.8,1.1,3.5,357,X
SCCC,153.50,2,1,0,12.21,13.33,12.6,1.2,5.3,173.3,X
SCGP,57.00,4,1,1,1.66,2.02,34.3,2.3,1.0,59.83,X
SENA,3.94,1,0,0,0.70,0.65,5.6,0.7,5.8,4.60,X
SINGER,28.75,2,1,1,1.27,1.58,22.6,1.5,2.1,36.38,X
SIRI,1.76,10,1,0,0.24,0.23,7.3,0.6,5.6,1.81,X
SIS,26.00,1,0,0,2.11,2.26,12.3,2.6,4.2,30.00,X
SKN,4.86,1,0,0,0.77,0.62,6.3,1.1,6.4,8.90,X
