,date,amount,item,kind
0,2023-01-31,10000,Parent,Parent
1,2023-01-31,640,Internet Home,Communication
2,2023-01-31,420,Netflix,Edutainment
3,2023-01-31,320,Telephone Dtac,Communication
4,2023-01-31,170,Google,Edutainment
5,2023-01-31,100,Apple,Edutainment
6,2023-01-31,40,Apple,Edutainment
