Name,Target,Max,Min,Buy,Hold,Sell
STANLY,237.43,245.00,216.00,5,1,0
STEC,12.28,15.03,10.20,6,5,0
STGT,7.50,7.50,7.50,0,0,0
SVI,8.65,9.64,8.00,1,4,0
SYNEX,14.71,17.86,10.20,5,2,0
TASCO,20.22,22.25,16.00,3,5,0
TCAP,57.64,65.60,50.00,5,3,0
TFFIF,9.55,9.60,9.50,2,0,0
TFG,4.44,5.20,3.70,2,3,0
THANI,3.40,3.90,2.80,3,2,1
THG,51.25,56.00,47.00,0,0,0
TIDLOR,28.15,34.25,24.00,14,1,0
TISCO,110.45,124.00,103.00,10,4,0
TKN,15.00,15.00,15.00,1,0,0
TKS,8.95,8.95,8.95,0,0,0
TMT,7.40,8.50,6.30,1,0,0
TOA,38.75,40.00,35.00,4,0,0
TOP,63.11,78.00,52.00,19,3,0
TPIPL,2.21,2.44,2.00,2,1,0
TPIPP,4.12,4.55,3.80,1,2,0
TQM,39.25,45.00,28.00,3,1,0
TRUE,8.73,10.00,7.23,8,3,0
TTA,7.80,8.60,7.00,1,1,0
TTB,1.78,2.00,1.52,9,8,0
TTW,8.60,9.20,8.00,0,1,0
TU,16.62,19.40,13.00,18,3,0
TVO,23.60,26.60,20.50,0,4,0
VGI,3.02,3.71,1.90,5,4,1
WHA,5.56,6.30,4.00,9,3,0
WHAIR,8.33,8.60,8.10,2,1,0
WHART,12.95,13.40,12.50,2,0,0
WHAUP,5.02,5.50,4.45,3,0,0
WICE,8.36,9.60,7.00,2,1,1
WORK,16.60,16.70,16.50,1,1,0
