name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
CPTGF,2023-01-26,7.35,7.35,7.35,7.35,7.35,44100,324.14,10.08,9.55,5.15,0.00,0.00
CRC,2023-01-26,43.75,43.75,43.75,43.00,43.50,10464072,453764.48,1.00,56.75,30.75,-0.25,-0.57
DCC,2023-01-26,2.84,2.82,2.84,2.80,2.82,7473746,21081.31,0.10,3.68,1.99,-0.02,-0.70
DCON,2023-01-26,0.42,0.42,0.44,0.42,0.43,4107300,1765.71,0.10,0.54,0.30,+0.01,+2.38
DELTA,2023-01-26,894.00,900.00,904.00,874.00,878.00,1955226,1734122.73,1.00,1162.00,626.00,-16.00,-1.79
DIF,2023-01-26,13.70,13.60,13.70,13.50,13.60,18977797,258105.63,10.00,17.80,9.60,-0.10,-0.73
DOHOME,2023-01-26,14.10,14.00,14.10,13.70,13.90,10667658,148202.49,1.00,18.30,9.90,-0.20,-1.42
DRT,2023-01-26,8.25,8.25,8.30,8.20,8.25,153163,1263.72,1.00,10.70,5.80,0.00,0.00
DTAC,2023-01-26,49.50,49.50,49.50,49.00,49.00,3436006,168780.92,2.00,64.25,34.75,-0.50,-1.01
EA,2023-01-26,88.00,89.00,89.25,85.25,85.25,24176167,2104370.75,0.10,114.00,61.75,-2.75,-3.12
EASTW,2023-01-26,5.50,5.50,5.50,5.40,5.40,1012849,5517.94,1.00,7.15,3.86,-0.10,-1.82
ECL,2023-01-26,2.04,2.06,2.06,2.02,2.04,4273778,8692.55,1.00,2.64,1.43,0.00,0.00
EGATIF,2023-01-26,6.95,6.95,7.00,6.95,6.95,381228,2662.42,8.96,9.00,4.88,0.00,0.00
EGCO,2023-01-26,176.50,176.50,176.50,174.00,175.50,1129851,197689.77,10.00,229.00,124.00,-1.00,-0.57
EPG,2023-01-26,8.95,9.00,9.00,8.35,8.40,21953381,187339.56,1.00,11.60,6.30,-0.55,-6.15
ESSO,2023-01-26,9.35,9.35,9.40,9.25,9.30,16170175,150728.63,4.93,12.10,6.55,-0.05,-0.53
FORTH,2023-01-26,37.75,38.00,43.75,38.00,43.25,19471956,814455.34,0.50,49.00,26.50,+5.50,+14.57
FPT,2023-01-26,15.10,15.00,15.20,15.00,15.20,62205,945.34,1.00,19.60,10.60,+0.10,+0.66
FSMART,2023-01-26,16.00,16.10,17.50,16.10,16.80,33222633,563617.97,0.50,20.80,11.20,+0.80,+5.00
GC,2023-01-26,5.60,5.65,5.65,5.60,5.60,31349,176.56,0.50,7.25,3.92,0.00,0.00
GFPT,2023-01-26,13.40,13.40,13.70,13.30,13.40,2629905,35401.69,1.00,17.40,9.40,0.00,0.00
GGC,2023-01-26,15.00,15.00,15.00,14.90,15.00,171000,2557.55,9.50,19.50,10.50,0.00,0.00
GLOBAL,2023-01-26,20.30,20.30,20.50,20.00,20.20,14982561,302715.72,1.00,26.25,14.30,-0.10,-0.49
GPSC,2023-01-26,74.50,74.00,74.00,68.50,68.50,32510790,2286522.93,10.00,96.75,52.25,-6.00,-8.05
GRAMMY,2023-01-26,10.60,10.60,10.60,10.40,10.40,423,4.44,1.00,13.70,7.45,-0.20,-1.89
GULF,2023-01-26,54.50,54.75,54.75,53.50,54.00,21350287,1149974.66,1.00,70.75,38.25,-0.50,-0.92
GUNKUL,2023-01-26,4.94,4.98,5.05,4.92,4.94,112468546,557370.70,0.25,6.40,3.46,0.00,0.00
GVREIT,2023-01-26,9.60,9.60,9.70,9.60,9.65,461700,4452.49,9.88,12.40,6.75,+0.05,+0.52
HANA,2023-01-26,59.00,59.00,59.25,57.00,57.25,7893586,458471.42,1.00,76.50,41.50,-1.75,-2.97
HFT,2023-01-26,6.50,6.45,6.50,6.45,6.45,214000,1380.65,1.00,8.45,4.56,-0.05,-0.77
HMPRO,2023-01-26,14.40,14.40,14.70,14.20,14.60,21612635,313064.21,1.00,18.70,10.10,+0.20,+1.39
HTC,2023-01-26,30.25,30.25,30.50,30.00,30.25,119652,3619.85,1.00,39.25,21.20,0.00,0.00
ICHI,2023-01-26,11.60,11.60,11.70,11.40,11.60,3178388,36774.36,1.00,15.00,8.15,0.00,0.00
III,2023-01-26,15.60,15.60,15.60,15.10,15.20,6082377,92726.04,0.50,20.20,11.00,-0.40,-2.56
ILM,2023-01-26,19.10,19.00,19.00,18.70,18.80,450500,8460.20,5.00,24.80,13.40,-0.30,-1.57
