name,from_date,to_date,days,from_price,to_price,diff,pct,spd,avg,max_price,min_price,ttl_qty,trend,nbr
TFFIF,2023-06-19,2023-06-19,1,7.7,7.7,0.0,0.0,0,0,7.8,7.7,1292943,Downward,604
TFFIF,2023-06-20,2023-06-21,2,7.75,7.75,0.0,0.0,0,0,7.8,7.7,3026647,Upward,606
TFFIF,2023-06-22,2023-06-22,1,7.6,7.6,0.0,0.0,0,0,7.75,7.6,3439907,Downward,607
TFFIF,2023-06-23,2023-06-23,1,7.7,7.7,0.0,0.0,0,0,7.7,7.55,2910530,Upward,608
TFFIF,2023-06-26,2023-06-26,1,7.55,7.55,0.0,0.0,0,0,7.7,7.5,7195717,Downward,609
TFFIF,2023-06-27,2023-06-27,1,7.6,7.6,0.0,0.0,0,0,7.65,7.5,3048233,Upward,610
TMT,2023-05-29,2023-05-29,1,7.55,7.55,0.0,0.0,0,0,7.6,7.45,217283,Upward,611
TMT,2023-05-30,2023-06-08,8,7.5,7.45,-0.05,-0.67,-1,-1,7.55,7.4,691429,Downward,618
TMT,2023-06-09,2023-06-09,1,7.5,7.5,0.0,0.0,0,0,7.5,7.45,239238,Upward,619
TMT,2023-06-12,2023-06-13,2,7.45,7.45,0.0,0.0,0,0,7.5,7.4,175860,Downward,621
TMT,2023-06-14,2023-06-16,3,7.5,7.5,0.0,0.0,0,0,7.5,7.4,122855,Upward,624
TMT,2023-06-19,2023-06-19,1,7.45,7.45,0.0,0.0,0,0,7.5,7.45,18780,Downward,625
TMT,2023-06-20,2023-06-20,1,7.5,7.5,0.0,0.0,0,0,7.5,7.4,62429,Upward,626
TMT,2023-06-21,2023-06-26,4,7.45,7.25,-0.2,-2.68,-4,-1,7.5,7.25,747494,Downward,630
TMT,2023-06-27,2023-06-27,1,7.3,7.3,0.0,0.0,0,0,7.3,7.2,36725,Upward,631
WHAIR,2023-05-29,2023-05-29,1,7.2,7.2,0.0,0.0,0,0,7.35,7.2,483826,Upward,632
WHAIR,2023-05-30,2023-05-31,2,7.15,7.15,0.0,0.0,0,0,7.25,7.1,1740159,Downward,634
WHAIR,2023-06-01,2023-06-01,1,7.2,7.2,0.0,0.0,0,0,7.2,7.1,218000,Upward,635
WHAIR,2023-06-02,2023-06-02,1,7.1,7.1,0.0,0.0,0,0,7.2,7.1,485216,Downward,636
WHAIR,2023-06-06,2023-06-09,4,7.15,7.3,0.15,2.1,3,0,7.3,7.05,709940,Upward,640
WHAIR,2023-06-12,2023-06-13,2,7.25,7.25,0.0,0.0,0,0,7.3,7.2,154804,Downward,642
WHAIR,2023-06-14,2023-06-20,5,7.3,7.4,0.1,1.37,2,0,7.4,7.2,1589144,Upward,647
WHAIR,2023-06-21,2023-06-27,5,7.3,7.15,-0.15,-2.05,-3,-1,7.4,7.1,1947330,Downward,652
WHART,2023-05-29,2023-05-30,2,10.9,10.9,0.0,0.0,0,0,11.0,10.9,1762017,Downward,654
WHART,2023-05-31,2023-06-06,5,11.0,11.2,0.2,1.82,2,0,11.2,10.9,3573119,Upward,658
WHART,2023-06-07,2023-06-09,3,11.0,11.0,0.0,0.0,0,0,11.2,11.0,3236177,Downward,661
WHART,2023-06-12,2023-06-12,1,11.2,11.2,0.0,0.0,0,0,11.2,11.0,1052392,Upward,662
WHART,2023-06-13,2023-06-13,1,11.0,11.0,0.0,0.0,0,0,11.2,11.0,996533,Downward,663
WHART,2023-06-14,2023-06-16,3,11.1,11.2,0.1,0.9,1,0,11.2,11.0,2926617,Upward,666
WHART,2023-06-19,2023-06-22,4,11.1,10.5,-0.6,-5.41,-6,-2,11.2,10.3,8436897,Downward,670
WHART,2023-06-23,2023-06-26,2,10.6,10.6,0.0,0.0,0,0,10.7,10.4,4070713,Upward,672
WHART,2023-06-27,2023-06-27,1,10.4,10.4,0.0,0.0,0,0,10.6,10.4,1488310,Downward,672
