name,date,price,change,%change,open,high,low,volume,value(m)
SMPC,2023-10-12,10.9,0.2,1.869159,10.7,11.0,10.6,432034,4689.5184
SNC,2023-10-12,10.0,0.0,0.0,9.95,10.0,9.95,46478,463.94840000000005
SPALI,2023-10-12,19.9,0.0,0.0,19.9,20.0,19.8,1465086,29068.1513
SPCG,2023-10-12,12.5,0.1,0.806452,12.4,12.5,12.3,69296,863.7081999999999
SPRC,2023-10-12,8.25,-0.1,-1.197605,8.35,8.4,8.2,13265089,109907.83325
SPRIME,2023-10-12,4.8,-0.02,-0.414938,4.84,4.86,4.8,303700,1464.784
SSP,2023-10-12,6.7,0.0,0.0,6.75,6.85,6.65,214604,1440.4831499999998
STA,2023-10-12,15.1,0.2,1.342282,15.3,15.4,14.8,11882427,179597.65430000002
STANLY,2023-10-12,178.0,-0.5,-0.280112,179.5,179.5,177.0,55312,9835.548
STEC,2023-10-12,9.2,0.0,0.0,9.35,9.35,9.2,2648804,24616.50305
STGT,2023-10-12,6.15,0.05,0.819672,6.15,6.25,6.1,3313263,20402.78197
SUPER,2023-10-12,0.47,0.01,2.173913,0.46,0.47,0.45,8688574,4001.8293
SYNEX,2023-10-12,11.2,-0.2,-1.754386,11.4,11.4,11.1,316925,3573.4175
TASCO,2023-10-12,16.8,0.1,0.598802,16.8,16.9,16.7,2526180,42500.6908
TCAP,2023-10-12,49.75,-1.0,-1.970443,49.5,50.0,49.5,3009528,149410.1605
TFFIF,2023-10-12,6.85,0,0,6.85,6.85,6.75,1548708,10529.7898
THANI,2023-10-12,3.0,0.04,1.351351,3.0,3.08,2.98,10949901,33038.19278
THG,2023-10-12,65.0,0.0,0.0,65.25,65.5,65.0,285428,18606.1735
TIDLOR,2023-10-12,20.6,-0.2,-0.961538,21.0,21.4,20.6,25593353,537763.6489
TIPH,2023-10-12,34.0,-0.25,-0.729927,34.5,34.5,34.0,540704,18459.91275
TIPCO,2023-10-12,9.0,-0.05,-0.552486,9.1,9.15,9.0,615670,5562.0749000000005
TISCO,2023-10-12,100.0,0.25,0.250627,100.5,100.5,99.75,2985374,298629.2855
TK,2023-10-12,5.65,0.1,1.801802,5.6,5.7,5.55,272400,1523.62
TKN,2023-10-12,12.2,-0.2,-1.612903,12.4,12.5,12.1,3977771,48851.7226
TKS,2023-10-12,7.35,0.0,0.0,7.35,7.4,7.3,38303,281.53204999999997
TMT,2023-10-12,6.6,0.0,0.0,6.6,6.6,6.55,51630,340.598
TOA,2023-10-12,21.9,-0.1,-0.454545,22.1,22.1,21.7,887648,19384.6545
TOP,2023-10-12,49.75,-0.25,-0.5,49.5,49.75,49.25,4911691,243654.01175
TPIPL,2023-10-12,1.42,0.0,0.0,1.43,1.44,1.42,4259397,6074.7968200000005
TPIPP,2023-10-12,3.3,0.02,0.609756,3.3,3.32,3.28,1523936,5034.539519999999
TQM,2023-10-12,33.5,0.5,1.515152,33.25,34.25,33.25,618107,20804.07625
TRUE,2023-10-12,7.1,0.0,0.0,7.1,7.1,7.0,28926979,204103.83125
TSE,2023-10-12,1.91,-0.03,-1.546392,1.94,1.95,1.89,1218415,2345.31098
TSTH,2023-10-12,0.81,0.01,1.25,0.8,0.83,0.8,484403,393.03049
TTA,2023-10-12,5.75,0.0,0.0,5.8,5.85,5.7,1984263,11434.46625
TTB,2023-10-12,1.71,0.01,0.588235,1.7,1.72,1.7,279417312,477678.43015
TTLPF,2023-10-12,21.3,-0.1,-0.46729,21.3,21.4,21.3,13602,289.8426
TTW,2023-10-12,9.0,0.05,0.558659,8.95,9.0,8.85,2980547,26572.5015
TU,2023-10-12,14.0,0.1,0.719424,13.8,14.0,13.6,20222376,278818.65280000004
TVO,2023-10-12,21.0,-0.2,-0.943396,21.4,21.4,21.0,306019,6448.7074
UTP,2023-10-12,11.7,0.1,0.862069,11.6,11.8,11.6,61716,720.6868000000001
VGI,2023-10-12,2.14,-0.04,-1.834862,2.2,2.22,2.12,23156598,49721.589060000006
WHA,2023-10-12,5.45,0.1,1.869159,5.35,5.45,5.3,32978264,177963.69319999998
WHAIR,2023-10-12,6.15,-0.05,-0.806452,6.2,6.2,6.1,183500,1123.18
WHART,2023-10-12,9.6,-0.1,-1.030928,9.7,9.75,9.6,1434074,13830.0916
WHAUP,2023-10-12,3.78,-0.02,-0.526316,3.76,3.8,3.74,792727,2984.0922400000004
WICE,2023-10-12,7.05,-0.1,-1.398601,7.15,7.25,7.05,477285,3410.227
WORK,2023-10-12,14.0,-0.1,-0.70922,14.1,14.1,14.0,5905,83.0
