name,from_date,to_date,days,from_price,to_price,diff,pct,spd,avg,max_price,min_price,ttl_qty
ASP,2022-01-13,2022-01-13,1,3.8,3.8,0.0,0.0,1,1,3.92,3.76,88763239
ASP,2022-01-14,2022-01-14,1,3.96,3.96,0.0,0.0,1,1,4.2,3.8,193037099
ASP,2022-01-17,2022-01-18,2,3.86,3.86,0.0,0.0,1,0,4.02,3.82,75279310
ASP,2022-01-19,2022-01-19,1,3.88,3.88,0.0,0.0,1,1,3.88,3.78,15774275
ASP,2022-01-20,2022-01-24,3,3.8,3.66,-0.14,-3.68,-6,-2,3.94,3.66,40427000
ASP,2022-01-25,2022-02-02,7,3.7,3.86,0.16,4.32,9,1,3.88,3.64,57956972
ASP,2022-02-03,2022-02-03,1,3.82,3.82,0.0,0.0,1,1,3.88,3.82,6358419
ASP,2022-02-04,2022-02-04,1,3.88,3.88,0.0,0.0,1,1,3.9,3.82,11998645
ASP,2022-02-07,2022-02-08,2,3.86,3.82,-0.04,-1.04,-1,-1,3.92,3.82,20267194
ASP,2022-02-09,2022-02-09,1,3.84,3.84,0.0,0.0,1,1,3.92,3.78,25030992
ASP,2022-02-10,2022-02-15,4,3.82,3.78,-0.04,-1.05,-1,-1,3.86,3.72,34701980
ASP,2022-02-17,2022-02-22,4,3.82,3.88,0.06,1.57,4,1,3.96,3.74,78160861
ASP,2022-02-23,2022-02-24,2,3.84,3.68,-0.16,-4.17,-7,-4,3.9,3.68,40083172
ASP,2022-02-25,2022-02-28,2,3.76,3.88,0.12,3.19,7,3,3.9,3.7,29727998
ASP,2022-03-01,2022-03-02,2,3.86,3.86,0.0,0.0,1,0,3.94,3.84,37805032
ASP,2022-03-03,2022-03-03,1,3.92,3.92,0.0,0.0,1,1,3.98,3.88,43343407
ASP,2022-03-04,2022-03-08,3,3.82,3.78,-0.04,-1.05,-1,-1,3.9,3.64,88565376
ASP,2022-03-09,2022-03-09,1,3.8,3.8,0.0,0.0,1,1,3.84,3.74,24614381
ASP,2022-03-10,2022-03-15,4,3.56,3.44,-0.12,-3.37,-5,-2,3.62,3.44,72149373
ASP,2022-03-16,2022-03-16,1,3.5,3.5,0.0,0.0,1,1,3.5,3.46,3872919
ASP,2022-03-17,2022-03-22,4,3.48,3.44,-0.04,-1.15,-1,-1,3.54,3.44,23922766
ASP,2022-03-23,2022-03-23,1,3.48,3.48,0.0,0.0,1,1,3.5,3.46,3291403
