name,sts,fm_date,days,fm_price,to_price,chg,chg%,up%,ttl%,target,min_price,buy,hold,sell
SCC,I,2022-12-21,6,331.0,340.0,9.0,2,-2,0,331.0,329.0,4,8,1
JASIF,I,2022-12-21,6,8.05,8.05,0.0,0,9,9,8.8,7.95,1,1,0
GFPT,I,2022-12-21,6,12.4,12.9,0.5,4,26,30,16.36,12.4,5,0,1
ASP,S,2022-12-21,6,2.94,2.96,0.02,0,-5,-5,2.8,2.94,0,1,0
TMT,S,2022-12-09,18,6.95,7.7,0.75,10,3,13,7.95,7.6,0,2,0
