name,fm_date,to_date,days,fm_price,to_price,chg,chg%,max_price,min_price,status,market
SYNEX,2022-12-21,2022-12-27,6,15.6,16.1,0.5,3,16.2,15.5,B,SET100 / SETTHSI
GFPT,2022-12-21,2022-12-27,6,12.4,12.9,0.5,4,12.9,12.4,I,sSET / SETTHSI
RCL,2022-12-20,2022-12-27,7,29.5,30.75,1.25,4,30.75,1.69,B,SET100 / SETCLMV
TFG,2022-12-21,2022-12-27,6,5.0,5.2,0.2,4,5.25,5.0,O,SET
STA,2022-12-20,2022-12-27,7,18.5,20.2,1.7,9,20.3,1.08,B,SET100 / SETTHSI / SETWB
TMT,2022-12-09,2022-12-27,18,6.95,7.7,0.75,10,7.7,7.6,S,sSET / SETTHSI
