Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
TR,SET    ,47.75,56.00,46.50,2.96,0.30,201.60,9626.40,0.25,0.29
TRUE,SET50    ,4.90,5.70,4.16,999.99,2.20,133472.78,163504.16,285.50,1.00
TSE,sSET    ,2.54,2.84,2.00,10.14,0.84,2117.72,5379.00,13.66,1.04
TSTH,sSET / SETCLMV / SETTHSI    ,1.15,1.65,0.99,11.77,0.76,8421.54,9684.77,8.35,1.08
TTA,sSET / SETTHSI    ,8.15,12.30,7.20,2.98,0.56,1822.46,14853.09,40.05,1.64
TTB,SET50 / SETHD / SETTHSI    ,1.45,1.47,1.09,10.67,0.65,91937.42,140325.54,415.12,1.03
TTLPF,SET    ,22.70,29.00,21.90,999.99,1.93,1782.00,4086.00,0.08,0.13
TTW,SETTHSI    ,9.40,11.80,8.15,12.46,2.69,3990.00,37506.00,26.86,0.24
TU,SET50 / SETCLMV / SETHD / SETWB    ,16.20,21.50,15.20,9.63,1.24,1192.95,77303.41,362.40,0.73
TVI,sSET    ,12.60,24.70,11.30,16.83,2.14,303.00,3817.80,4.97,0.69
TVO,SETTHSI / SETWB    ,29.00,31.25,26.50,11.18,2.40,889.47,25794.67,18.92,0.42
TYCN,SET    ,2.76,4.30,2.72,999.99,0.38,4475.62,1647.03,0.11,0.83
UTP,sSET    ,16.00,19.40,15.40,11.24,2.52,650.00,10400.00,3.31,0.78
VGI,SET100 / SETTHSI    ,4.66,5.86,3.46,999.99,1.88,1119.45,52166.45,213.48,1.22
VIBHA,SETWB    ,2.68,2.96,2.26,20.22,2.52,1357.60,36383.71,10.47,0.32
VNG,sSET / SETCLMV    ,5.65,8.75,5.50,8.12,1.30,1735.24,9804.09,2.26,0.51
WHA,SET100 / SETHD / SETTHSI    ,3.74,4.22,2.84,17.26,1.85,1494.68,55901.16,397.96,1.14
WHAIR,SET    ,7.80,9.06,7.02,999.99,0.84,8410.94,7407.01,8.44,0.22
WHART,SET    ,11.80,12.60,9.65,999.99,1.07,29535.23,38620.56,28.20,0.43
WHAUP,sSET / SETTHSI    ,4.02,4.34,3.66,33.24,1.20,3825.00,15376.50,21.15,0.58
WICE,sSET    ,12.40,22.40,9.35,12.65,5.02,325.95,8083.55,88.96,1.83
WORK,sSET    ,18.30,32.50,17.90,68.64,1.79,441.56,8080.56,12.21,1.48
