name,date,volbuy,cost_amount,market_value,period
ASP,2022-03-07,30000.0,114000.0,89400.0,1
MCS,2016-09-20,75000.0,1155000.0,671250.0,1
PTTGC,2021-03-17,9000.0,551250.0,425250.0,1
STA,2021-06-15,15000.0,547500.0,316500.0,1
TMT,2021-08-16,36000.0,367200.0,280800.0,1
BCH,2021-09-07,15000.0,321900.0,307500.0,2
CPNREIT,2022-08-16,20000.0,378000.0,390000.0,2
DCC,2022-05-05,60000.0,177600.0,169200.0,2
DIF,2020-08-01,40000.0,588000.0,528000.0,2
GVREIT,2022-08-24,20000.0,178000.0,182000.0,2
JASIF,2018-05-17,130000.0,1300000.0,1046500.0,2
RCL,2021-11-08,24000.0,955200.0,738000.0,2
SCCC,2022-02-23,1200.0,205200.0,184200.0,2
SENA,2022-03-29,105000.0,470400.0,413700.0,2
TFFIF,2022-11-30,10000.0,75000.0,76500.0,2
WHAIR,2021-10-11,40000.0,358000.0,298000.0,2
WHART,2022-01-05,30000.0,351000.0,321000.0,2
GFPT,2022-12-21,7500.0,93750.0,96000.0,3
IVL,2022-08-29,2400.0,105600.0,97800.0,3
JMART,2022-12-20,3000.0,120000.0,122250.0,3
KCE,2021-10-07,14000.0,1018500.0,651000.0,3
MAKRO,2022-02-24,7500.0,303000.0,300000.0,3
NER,2021-09-01,27000.0,201150.0,171450.0,3
ORI,2022-04-07,45000.0,495000.0,544500.0,3
SYNEX,2022-01-07,15000.0,430500.0,246000.0,3
SCC,2021-09-20,600.0,243000.0,205200.0,4
