name,from_date,to_date,from_price,to_price,trend
JMART,2022-12-26,2022-12-26,39.5,39.5,
JMART,2022-12-27,2022-12-29,40.5,41.5,Upward
JMART,2022-12-30,2022-12-30,40.75,40.75,Downward
JMART,2023-01-03,2023-01-03,41.0,41.0,Upward
JMART,2023-01-04,2023-01-05,40.75,40.0,Downward
JMART,2023-01-06,2023-01-11,40.25,42.25,Upward
