name,year,quarter,published
AMARC,2022,4,"Wed, 15 Feb 2023 20:04:18 +0700"
SAK,2022,4,"Wed, 15 Feb 2023 19:04:08 +0700"
OR,2022,4,"Wed, 15 Feb 2023 19:01:33 +0700"
EGATIF,2022,4,"Wed, 15 Feb 2023 18:29:43 +0700"
ASK,2022,4,"Wed, 15 Feb 2023 18:18:59 +0700"
MJLF,2022,4,"Wed, 15 Feb 2023 18:09:13 +0700"
DELTA,2022,4,"Wed, 15 Feb 2023 18:00:25 +0700"
CPTGF,2022,4,"Wed, 15 Feb 2023 17:37:51 +0700"
GROREIT,2022,4,"Wed, 15 Feb 2023 17:11:30 +0700"
TOG,2022,4,"Wed, 15 Feb 2023 17:07:02 +0700"
GAHREIT,2022,4,"Wed, 15 Feb 2023 17:06:55 +0700"
GC,2022,4,"Wed, 15 Feb 2023 13:28:51 +0700"
ITC,2022,4,"Wed, 15 Feb 2023 13:14:56 +0700"
PM,2022,4,"Wed, 15 Feb 2023 12:40:35 +0700"
SFP,2022,1,"Wed, 15 Feb 2023 09:37:58 +0700"
MBAX,2022,4,"Wed, 15 Feb 2023 08:47:18 +0700"
CHEWA,2022,4,"Wed, 15 Feb 2023 08:13:37 +0700"
KEX,2022,4,"Wed, 15 Feb 2023 06:56:05 +0700"
