name,year,quarter,published,market
BTS,2022,3,"Tue, 14 Feb 2023 20:21:15 +0700",SET50 / SETTHSI / SETWB
SMPC,2022,4,"Tue, 14 Feb 2023 19:05:02 +0700",sSET
GVREIT,2023,1,"Tue, 14 Feb 2023 18:28:16 +0700",SET
TPIPL,2022,4,"Tue, 14 Feb 2023 18:27:05 +0700",SET
VGI,2022,3,"Tue, 14 Feb 2023 17:30:02 +0700",SET100 / SETTHSI
KEX,2022,4,"Tue, 14 Feb 2023 17:16:36 +0700",SET100 / SETTHSI / SETWB
COTTO,2022,4,"Tue, 14 Feb 2023 17:14:35 +0700",SET
BLAND,2022,3,"Tue, 14 Feb 2023 17:14:25 +0700",SET
BTSGIF,2022,3,"Tue, 14 Feb 2023 17:12:19 +0700",SET
TR,2022,3,"Tue, 14 Feb 2023 17:07:43 +0700",SET
SCGP,2022,4,"Tue, 14 Feb 2023 17:03:12 +0700",SET50 / SETCLMV / SETTHSI
DCC,2022,4,"Tue, 14 Feb 2023 13:09:07 +0700",SET
TMW,2022,3,"Tue, 14 Feb 2023 12:32:39 +0700",mai
JMT,2022,4,"Tue, 14 Feb 2023 08:41:00 +0700",SET50
JMART,2022,4,"Tue, 14 Feb 2023 08:05:29 +0700",SET50
