name,year,quarter,published,market
DOHOME,2022,4,"Tue, 21 Feb 2023 21:07:49 +0700",SET100 / SETWB
TK,2022,4,"Tue, 21 Feb 2023 20:13:15 +0700",sSET
WHAIR,2022,4,"Tue, 21 Feb 2023 19:43:12 +0700",SET
MTC,2022,4,"Tue, 21 Feb 2023 18:57:46 +0700",SET50 / SETTHSI
TCAP,2022,4,"Tue, 21 Feb 2023 18:48:23 +0700",SET100 / SETHD
SPALI,2022,4,"Tue, 21 Feb 2023 17:56:41 +0700",SET100 / SETHD
TTB,2022,4,"Tue, 21 Feb 2023 17:43:59 +0700",SET50 / SETHD / SETTHSI
TTW,2022,4,"Tue, 21 Feb 2023 17:06:49 +0700",SETTHSI
AP,2022,4,"Tue, 21 Feb 2023 13:01:38 +0700",SET100 / SETHD
GFPT,2022,4,"Tue, 21 Feb 2023 12:54:34 +0700",sSET / SETTHSI
