name,year,quarter,published,market
RS,2022,4,"Tue, 28 Feb 2023 21:41:22 +0700",SET / SETTHSI
EGCO,2022,4,"Tue, 28 Feb 2023 21:37:48 +0700",SET50 / SETCLMV / SETHD / SETTHSI
SAPPE,2022,4,"Tue, 28 Feb 2023 21:14:35 +0700",sSET
ACE,2022,4,"Tue, 28 Feb 2023 21:09:35 +0700",SET100
ORI,2022,4,"Tue, 28 Feb 2023 21:03:33 +0700",SET100 / SETHD / SETTHSI
AMATA,2022,4,"Tue, 28 Feb 2023 20:15:29 +0700",SET100 / SETCLMV / SETTHSI
PLANB,2022,4,"Tue, 28 Feb 2023 19:23:48 +0700",SET100 / SETTHSI
CRC,2022,4,"Tue, 28 Feb 2023 18:39:52 +0700",SET50 / SETCLMV / SETTHSI / SETWB
SPC,2022,4,"Tue, 28 Feb 2023 18:32:46 +0700",SET
TVI,2022,4,"Tue, 28 Feb 2023 18:31:04 +0700",SET
AH,2022,4,"Tue, 28 Feb 2023 18:29:25 +0700",sSET / SETTHSI
BGRIM,2022,4,"Tue, 28 Feb 2023 18:17:48 +0700",SET50 / SETCLMV / SETTHSI
RATCH,2022,4,"Tue, 28 Feb 2023 17:48:42 +0700",SET100 / SETCLMV / SETHD / SETTHSI
ROJNA,2022,4,"Tue, 28 Feb 2023 17:25:50 +0700",sSET
BE8,2022,4,"Tue, 28 Feb 2023 13:20:43 +0700",mai
MCS,2022,4,"Tue, 28 Feb 2023 12:46:09 +0700",sSET
LANNA,2022,4,"Tue, 28 Feb 2023 12:34:26 +0700",sSET
IP,2022,4,"Tue, 28 Feb 2023 08:32:21 +0700",mai
VIBHA,2022,4,"Tue, 28 Feb 2023 08:28:14 +0700",SETWB
TQM,2022,4,"Tue, 28 Feb 2023 08:26:33 +0700",SET100 / SETTHSI
SSP,2022,4,"Tue, 28 Feb 2023 08:23:06 +0700",sSET / SETCLMV
SABUY,2022,4,"Tue, 28 Feb 2023 08:13:42 +0700",SET
SIRI,2022,4,"Tue, 28 Feb 2023 08:05:36 +0700",SET / SETTHSI
HTC,2022,4,"Tue, 28 Feb 2023 08:01:13 +0700",sSET / SETTHSI
BEAUTY,2022,4,"Tue, 28 Feb 2023 07:40:24 +0700",SET
IMH,2022,4,"Tue, 28 Feb 2023 06:33:52 +0700",mai
